# date and time: 2022-05-23T13:05:38.809
# host: surt2.cs.umt.edu with 20  processes: 
# 5420.143231 seconds
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: false
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinteriors: 11
# numlevelsback: 8
# max_steps: 600000
goal,numinputs,numoutputs,numints,numlevsback,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x0a7e],4,1,11,8,600000,100.0,100.0,9413.085,3.972891017574358,0.2963483146067416,2823.0,8.39,6.727291035771946,2.732544568565703,0.0,0.0
UInt16[0x0b2e],4,1,11,8,600000,100.0,100.0,7337.14,3.8606320420509253,0.3599157303370787,2359.0,7.785,6.181767369730912,2.6128487094318467,0.0,0.0
UInt16[0x0b38],4,1,11,8,600000,100.0,100.0,2741.6,3.431854321720065,0.3820505617977528,1876.0,7.635,6.025341638737521,2.4542630086573727,0.0,0.0
UInt16[0x0b3c],4,1,11,8,600000,100.0,100.0,8305.695,3.918581705249435,0.3950842696629213,2204.0,7.414999999999999,5.66557121937623,2.358019102339539,0.0,0.0
UInt16[0x0b85],4,1,11,8,600000,100.0,100.0,17140.92,4.234019321250823,0.2698314606741573,3853.0,8.58,7.116159105308739,2.5012135875710686,0.0,0.0
UInt16[0x0c55],4,1,11,8,600000,100.0,100.0,2109.075,3.3234568381011425,0.43075842696629213,1664.0,7.265000000000001,5.292471494070359,2.6043674455418993,0.0,0.0
UInt16[0x0c78],4,1,11,8,600000,100.0,100.0,6349.89,3.802761928356189,0.3489325842696629,2524.0,7.8100000000000005,6.405900207535419,2.4006178073156086,0.0,0.0
UInt16[0x0cc2],4,1,11,8,600000,100.0,100.0,10055.055,4.002378724109075,0.36317415730337077,2441.0,7.855,6.01316906089126,2.3629036912020025,0.0,0.0
UInt16[0x0db5],4,1,11,8,600000,100.0,100.0,15200.495,4.1799880121751976,0.270561797752809,3676.0,8.59,7.161292577741008,2.6414131441735496,0.0,0.0
UInt16[0x0e00],4,1,11,8,600000,100.0,100.0,1077.295,3.030761270710739,0.5072752808988764,1299.0,6.705,4.470319283265198,1.9356983369142513,0.0,0.0
UInt16[0x0e15],4,1,11,8,600000,100.0,100.0,8419.355,3.925210997918537,0.31558988764044943,2614.0,8.225,6.666766456751558,2.600158704884227,0.0,0.0
UInt16[0x0e32],4,1,11,8,600000,100.0,100.0,4643.91,3.6639366727672247,0.31587078651685396,2710.0,8.16,6.557856965439139,2.512512977792867,0.0,0.0
UInt16[0x0ee0],4,1,11,8,600000,100.0,100.0,943.9,2.9744089733992434,0.5013483146067416,1316.0,6.5649999999999995,4.997268736461954,2.5661098513114142,0.0,0.0
