# date and time: 2022-05-23T10:01:54.776
# host: fluda.cs.umt.edu with 24  processes: 
# 8395.285683 seconds 
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: true
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinstructions: 10
# numregisters: 2
# max_steps: 600000
goal,numinputs,numoutputs,numinstructs,numregisters,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x13c2],4,1,10,2,600000,105.0,100.0,160437.925,5.204762284610439,0.2172,2206.0,0.0,7.743686135314512,0.0,0.0,0.0
UInt16[0x14cb],4,1,10,2,600000,100.0,100.0,32305.685,4.509000884594702,0.31356666666666666,1767.0,0.0,7.612244500459189,0.0,0.0,0.0
UInt16[0x154e],4,1,10,2,600000,103.0,100.0,169227.06,5.228235430325164,0.20726666666666665,2417.0,0.0,7.95750701935866,0.0,0.0,0.0
UInt16[0x1633],4,1,10,2,600000,100.0,100.0,18041.365,4.254203330378823,0.37583333333333335,1149.0,0.0,7.241511371844213,0.0,0.0,0.0
UInt16[0x164d],4,1,10,2,600000,147.0,99.5,426972.28444444446,5.630080468722553,0.18004141414141414,2873.0,0.0,8.170700667075653,0.0,0.0,0.0
UInt16[0x16e3],4,1,10,2,600000,105.5,100.0,97200.185,4.987664563405988,0.23593333333333333,2256.0,0.0,8.10468371562227,0.0,0.0,0.0
UInt16[0x16f0],4,1,10,2,600000,100.0,100.0,20410.445,4.309607668089897,0.38456666666666667,1106.0,0.0,7.648382897155903,0.0,0.0,0.0
UInt16[0x17d2],4,1,10,2,600000,116.5,100.0,241442.78000000003,5.382797261070078,0.16356666666666667,3129.0,0.0,8.29983849794817,0.0,0.0,0.0
UInt16[0x187c],4,1,10,2,600000,107.0,100.0,186459.875,5.2703393302546,0.2275,2263.0,0.0,8.081099229995182,0.0,0.0,0.0
UInt16[0x18cf],4,1,10,2,600000,100.0,100.0,56357.255,4.750915341708807,0.305,1850.0,0.0,7.618007288784708,0.0,0.0,0.0
UInt16[0x1958],4,1,10,2,600000,104.5,100.0,156651.54499999998,5.194625339390512,0.21353333333333332,2413.0,0.0,7.840212250891128,0.0,0.0,0.0
UInt16[0x196c],4,1,10,2,600000,100.5,100.0,70831.69,4.847334410472548,0.24966666666666665,2035.0,0.0,7.96757994511718,0.0,0.0,0.0
